dataset,scale_label,query_name,run_phase,query_scale_phase_id,ablation_variant,availability_status,selected_g_classes,selected_config_count,removed_g_classes,removal_reasons,global_best_config_id,global_best_g_class,global_best_p95,ablation_best_config_id,ablation_best_g_class,ablation_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,rule_note
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,no_residual_traversal,available,G2|G3|G5|G7,4,G4|G9,G4:removed_residual_or_reduction_sensitive_g_class; G9:removed_residual_or_reduction_sensitive_g_class,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,0.64081612508744,0.0,1.0,0.0,0.11337119692121557,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,no_sharedness,available,G2|G3|G4|G7|G9,5,G5,G5:removed_sharedness_sensitive_g_class,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,1.0,1.0,1.0,0.0,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,no_update_volatility,available,G2|G3|G4|G5|G9,5,G7,G7:removed_update_sensitive_g_class,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,1.0,1.0,1.0,0.0,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,no_relationship_semantics_no_depth,available,G7|G9,2,G2|G3|G4|G5,G2:removed_semantic_g_class; G3:removed_semantic_g_class; G4:removed_depth_sensitive_g_class; G5:removed_semantic_g_class,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,1.0,1.0,1.0,0.0,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,full_schema_lens,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,Full SchemaLens measured space: all non-control benchmark groups.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,no_relationship_semantics,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,"Removed relationship-semantics-driven classes. This ablation ignores association, associative, containment, descriptor, ownership, and subtype signals."
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,no_depth,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,Removed depth-sensitive classes. This ablation ignores embedding depth and deep/nested traversal evidence.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,no_residual_traversal,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,"Removed residual-traversal/reduction-sensitive classes. This ablation ignores Re, DeltaR, and DeltaRratio as activation evidence."
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,no_sharedness,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,Removed sharedness-sensitive classes. This ablation ignores observed sharedness pressure.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,no_update_volatility,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,Removed update/volatility-sensitive classes. This ablation ignores write pressure and update volatility.
fiben,sf1,Q1_CompanyProfileIBM,cold,fiben::sf1::Q1_CompanyProfileIBM::cold,no_relationship_semantics_no_depth,available,G0,1,,,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,q1_company_profile_ibm__g0__root_only,G0,0.2976407238747923,1.0,1.0,1.0,0.0,Removed both relationship-semantics-driven and depth-sensitive classes. This ablation tests a reduced activation without semantic type or embedding depth.
fiben,sf1,Q1_CompanyProfileIBM,hot,fiben::sf1::Q1_CompanyProfileIBM::hot,full_schema_lens,available,G0,1,,,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,0.5578436190262431,0.0,1.0,0.0,1.3903518947787055,Full SchemaLens measured space: all non-control benchmark groups.
