scale_label,query_name,candidate_id,final_benchmark_group,g_class,design_pattern,execution_status,n_components,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,has_IXSCAN,has_COLLSCAN,has_GROUP,sum_estimated_docs_examined_bytes,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g2__embed_containment_children,primary,G2,embedded_containment,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g3__association_references,primary,G3,association_references,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,primary,G4,deep_nested_document,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g6__materialized_query_view,primary,G6,aggregation_materialized_collection,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,3,388,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,3,211,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__g3__association_references,primary,G3,association_references,completed,3,211,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,3,211,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__g6__materialized_query_view,primary,G6,aggregation_materialized_collection,completed,3,211,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,3,211,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q8_IBMTransactionsBelowAverageSellingPrice,q8_ibmtransactions_below_average_selling_price__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,3,211,388,388,True,False,True,130758.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g2__embed_containment_children,primary,G2,embedded_containment,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g3__association_references,primary,G3,association_references,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g4__deep_nested_path,primary,G4,deep_nested_document,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
sf30,Q9_PersonsWhoBoughtAndSoldSameStock,q9_persons_who_bought_and_sold_same_stock__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,2,456,458,458,True,False,True,160758.0,351.0,transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf30_test_v1
